日別アクティビティ2021年5月 - 2022年5月
"Date","体重(kg)","英語(ページ)","情報技術(分)","読書(分)","水泳(分)","Memo"
"2021/7/12",,,"20","30",,"電車では読書
家ではダラダラしてしまった…
情報の勉強とプログラミングの勉強の両立が難しい"
"2021/7/13",,,"20","40","40",
"2021/7/14",,,"10","20",,"YouTubeを60分程度見てしまった。"
"2021/7/18",,,,,,"サウナ行った"
"2021/7/19","61.8",,,"10",,"YouTube見てしまった…
漫画:ファブル"
"2021/7/20","61.4",,"40",,"40","11時には寝た
パソコンは朝に回す方が効率的かも"
"2021/7/21",,,"30",,,
"2021/7/22",,,"30",,,
"2021/7/26","61.3",,"15",,,
"2021/7/27",,,"30",,"40",
"2021/7/28","62.0",,"0",,,
"2021/7/29","61.3",,"120",,,
"2021/7/30",,,"30",,,
"2021/8/1","60.9",,,,,
"2021/8/2","61.6",,,,,
"2021/8/3","62.3",,"30",,,
"2021/8/4","61.7",,,,,
"2021/8/10","61.5",,,,,
"2021/8/11",,,"60",,,
"2021/8/12","61.2",,"140",,,
"2021/8/13",,,"120",,,
"2021/8/14",,,"120",,,
"2021/8/15",,,"20",,,
"2021/8/16",,,"80",,,
"2021/8/17","62.2",,"60",,,
"2021/8/19","62.6",,,,,
"2021/8/21","61.4",,,,,
"2021/8/23","61.9",,,,,
"2021/8/24","61.9",,,,,
"2021/8/25","62.1",,,,,
"2021/8/26","62.3",,,,,
"2021/8/29","62.0",,,,,
"2021/8/30","61.8",,,,,
"2021/9/1","62.4",,,,,
"2021/9/2","62.0",,,,,
"2021/9/6","61.6",,,,,
"2021/9/7","61.6",,,,,
"2021/9/9","61.7",,,,,
"2021/9/11","62.4",,,,,
"2021/9/14","61.6",,,,,
"2021/9/15","62.0",,,,,
"2021/9/16","62.2",,,,,
"2021/9/18","62.0",,"3",,,
"2021/9/19",,,"0",,,
"2021/9/20","62.1",,"2",,,
"2021/9/21","62.0",,,,,
"2021/9/22","61.8",,"1",,,
"2021/9/23","62.0",,"3",,,
"2021/9/24",,,"0",,,
"2021/9/25","61.8",,"4",,,
"2021/9/26",,,"5",,,
"2021/9/27","62.0",,"1",,,
"2021/9/28","62.4",,"2",,,
"2021/9/30","62.1",,,,,
"2021/10/2","61.9",,,,,
"2021/10/5","62.1",,,,,
"2021/10/6","62.7",,,,,
"2021/10/7","62.5",,,,,
"2021/10/11","61.6",,,,,
"2021/10/12","62.3",,,,,
"2021/10/14","62.2",,,,,
"2021/10/18","61.4",,,,,
"2021/10/21","61.7",,,,,
"2021/10/23","61.1",,,,,
"2021/10/25","61.5",,,,,
"2021/10/26","61.6",,,,,
"2021/10/27","61.5",,,,,
"2021/11/1","61.7",,,,,
"2021/11/8","61.0",,,,,
"2021/11/9","61.8",,,,,
"2021/11/11","62.0",,,,,
"2021/11/13","61.5","50",,,,
"2021/11/15","61.9","50",,,,
"2021/11/16","61.8","58",,,,
"2021/11/17","61.8","66",,,,
"2021/11/18","61.5",,,,,
"2021/11/20","62.2",,,,,
"2021/11/21","62.1",,,,,
"2021/11/22","61.8",,,,,
"2021/11/24","61.6","75",,,,
"2021/11/25","61.9",,,,,
"2021/11/27","62.3","80",,,,
"2021/11/28","62.1",,,,,
"2021/11/29","61.7","87",,,,
"2021/11/30","61.8",,,,,
"2021/12/1","61.8","90",,,,
"2021/12/5","62.0",,,,,
"2021/12/12","61.9",,,,,
"2021/12/13","62.3",,,,,
"2021/12/15","61.8",,,,,
"2021/12/16","61.8",,,,,
"2021/12/20","61.6",,,,,
"2021/12/23","62.1",,,,,
"2021/12/26","61.4",,,,,
"2021/12/27","61.5",,,,,
"2021/12/28","62.3",,,,,
"2022/1/4","62.1","100",,,,
"2022/1/6","62.5",,,,,
"2022/1/13","62.1",,,,,
"2022/1/15","62.0",,,,,
"2022/1/17","62.2",,,,,
"2022/1/19","62.3",,,,,
"2022/1/20","62.2",,,,,
"2022/1/23","61.8",,,,,
"2022/1/24","62.3",,,,,
"2022/1/26","61.8",,,,,
"2022/1/30","62.0",,,,,
"2022/1/31","62.0",,,,,
"2022/2/1","62.3",,,,,
"2022/2/3","62.2",,,,,
"2022/2/6","62.0",,,,,
"2022/2/7","62.1",,,,,
"2022/2/9","62.6",,,,,
"2022/2/13","62.2",,,,,
"2022/2/14","62.2",,,,,
"2022/2/15","62.7",,,,,
"2022/2/16","62.2",,,,,
"2022/2/21","61.8",,,,,
"2022/2/23","61.6",,,,,
"2022/2/27","60.8",,,,,
"2022/2/28","61.8","121",,,,
"2022/3/6","61.6",,,,,
"2022/3/13",,"124",,,,
"2022/3/14","61.5",,,,,
"2022/3/15","61.8",,,,,
"2022/3/16","62.1",,,,,
"2022/3/19","61.9",,,,,
"2022/3/21","62.1",,,,,
"2022/3/22","62.1",,,,,
"2022/3/24","62.0",,,,,
"2022/3/27","61.7",,,,,
"2022/4/2","62.0",,,,,
"2022/4/3",,"131",,,,
"2022/4/5","62.1",,,,,
"2022/4/6","62.1",,,,,
"2022/4/7","62.6","151",,,,
"2022/4/8",,"156",,,,
"2022/4/10","62.1",,,,,
"2022/4/11","62.1",,,,,
"2022/4/12","62.5","163",,,,
"2022/4/13","62.5","165",,,,
"2022/4/14","62.9","170",,,,
"2022/4/17","63.0",,,,,
"2022/4/18","62.5",,,,,
"2022/4/20",,"181",,,,
"2022/4/23","62.4",,,,,
"2022/4/26","62.7","184",,,,
"2022/4/27",,"191",,,,
"2022/5/5","61.9",,,,,
"2022/5/9","62.8","194",,,,
"2022/5/10",,"197",,,,
"2022/5/12","62.9","199",,,,
"2022/5/14","62.2",,,,,
"2022/5/15","62.0",,,,,
"2022/5/19",,"215",,,,
"2022/5/20",,"222",,,,
"2022/5/21","62.3",,,,,
"2022/5/22","62.9",,,,,
"2022/5/23",,"226",,,,
"2022/5/29","61.7",,,,,
"2022/5/30","62.3","233",,,,
"2022/5/31","62.5","240",,,,
